maatregel_id,"maatregel_naam","instructie","aanvullende_instructie","verkeersbord_code","wegcode_tekst"
"146ee720-0e81-11e4-8922-00144ff9eea1","72.5/F17",de rijstroken van de rijbaan met een strook voorbehouden voor autobussen worden aangeduid,,F17,aanduiding van de rijstroken van een rijbaan met een strook voorbehouden voor autobussen
"146ee720-0e81-11e4-8922-00144ff9eea1","72.5/F17","er wordt een rijstrook voorbehouden voor voertuigen van geregelde diensten voor gemeenschappelijk vervoer, taxi's en aan voertuigen voor schoolvervoer",,"72.5",busstrook
"8fec5e00-0e81-11e4-8922-00144ff9eea1","72.5/F17",de rijstroken van de rijbaan met een strook voorbehouden voor autobussen worden aangeduid. Ook ${toegelaten voertuigen op de busstrook} worden op de voorbehouden strook toegelaten,,F17,aanduiding van de rijstroken van een rijbaan met een strook voorbehouden voor autobussen
"8fec5e00-0e81-11e4-8922-00144ff9eea1","72.5/F17","er wordt een rijstrook voorbehouden voor voertuigen van geregelde diensten voor gemeenschappelijk vervoer, taxi's en aan voertuigen voor schoolvervoer",,"72.5",busstrook
"18845bd0-1636-11e4-8922-00144ff9eea1","72.6/F18",de bijzondere overrijdbare bedding wordt aangeduid,,F18,"aanduiding van een bijzondere overrijdbare bedding, voorbehouden voor voertuigen van geregelde openbare diensten voor gemeenschappelijk vervoer"
"18845bd0-1636-11e4-8922-00144ff9eea1","72.6/F18",er wordt een bedding voorbehouden voor voertuigen van geregelde diensten voor gemeenschappelijk vervoer,,"72.6",BOB
"4b0fa8c0-1636-11e4-8922-00144ff9eea1","72.6/F18",er wordt een bedding voorbehouden voor voertuigen van geregelde diensten voor gemeenschappelijk vervoer,,"72.6",BOB
"4b0fa8c0-1636-11e4-8922-00144ff9eea1","72.6/F18",de bijzondere overrijdbare bedding wordt aangeduid. Ook ${toegelaten voertuigen op de BOB} worden op deze voorbehouden bedding toegelaten,,F18,"aanduiding van een bijzondere overrijdbare bedding, voorbehouden voor voertuigen van geregelde openbare diensten voor gemeenschappelijk vervoer"
dd331190-98e1-11e0-a970-00216a82c36c,"74",fietsers en bestuurders van tweewielige bromfietsen klasse A moeten het fietspad volgen voor zover het rechts in hun rijrichting ligt,,"74",fietspad
dd34e652-98e1-11e0-a970-00216a82c36c,"75.1.2",het parkeren op de rijbaan is verboden,,"75.1.2",gele onderbroken streep
dd369402-98e1-11e0-a970-00216a82c36c,"75.2","de denkbeeldige rand van de rijbaan wordt aangeduid. Het deel van de openbare weg dat gelegen is aan de andere kant van deze streep is voorbehouden voor het stilstaan en parkeren, behalve op autosnelwegen en autowegen",,"75.2",denkbeeldige rand van de rijbaan
dd38ddf0-98e1-11e0-a970-00216a82c36c,"76.3",voetgangers moeten de oversteekplaats volgen om de rijbaan over te steken,,"76.3",oversteekplaats voor voetgangers
dd3c1240-98e1-11e0-a970-00216a82c36c,"76.4",fietsers en bestuurders van tweewielige bromfietsen moeten de oversteekplaats volgen om de rijbaan over te steken,,"76.4",oversteekplaats voor fietsers en bestuurders van tweewielige bromfietsen
dd42a1f0-98e1-11e0-a970-00216a82c36c,"77.1",de bestuurders moeten de rijstrook volgen om in de door de pijlen aangewezen richting te rijden,,"77.1",voorsorteringspijlen
dd3d98e0-98e1-11e0-a970-00216a82c36c,"77.4","bestuurders mogen niet rijden, stilstaan of parkeren op de markeringen",,"77.4",verkeersgeleider (verdrijvingsvlak)
dd3f4690-98e1-11e0-a970-00216a82c36c,"77.5",voertuigen moeten parkeren binnen de afgebakende plaatsen,,"77.5",parkeerzone
dd4476b0-98e1-11e0-a970-00216a82c36c,"77.7",fietsers en bestuurders van tweewielige bromfietsen moeten de voor hen voorbehouden voorsorteringsstrook volgen om in de door de pijlen aangewezen richting te rijden,,"77.7",voorsorteringsstroken voor fietsers en bestuurders van tweewielige bromfietsen
dd411b50-98e1-11e0-a970-00216a82c36c,"77.8",de afgebakende plaats wordt voorbehouden voor voertuigen van geregelde diensten voor gemeenschappelijk vervoer. Stilstaan en parkeren op deze markering is verboden,,"77.8",dambordmarkering
a5214741-98e1-11e0-a970-00216a82c36c,B1,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
ae706560-98e1-11e0-a970-00216a82c36c,B13,"het verkeersbord B11 wordt aangekondigd. De bestuurders naderen het einde van de voorrangsweg, over ${aanduiding_afstand} meter zullen ze geen voorrang meer hebben",,B13,verkeersbord dat het verkeersbord B11 aankondigt op de bij benadering aangeduide afstand
ae7372a0-98e1-11e0-a970-00216a82c36c,B15,de bestuurders hebben voorrang,,B15,voorrang
ae77b860-98e1-11e0-a970-00216a82c36c,B15-Type VIII,de bestuurders hebben voorrang,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B15,voorrang
a564dff0-98e1-11e0-a970-00216a82c36c,B1/76.2,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a564dff0-98e1-11e0-a970-00216a82c36c,B1/76.2,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a8506720-98e1-11e0-a970-00216a82c36c,B1/76.2/B15,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a8506720-98e1-11e0-a970-00216a82c36c,B1/76.2/B15,de bestuurders hebben voorrang,,B15,voorrang
a8506720-98e1-11e0-a970-00216a82c36c,B1/76.2/B15,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a8eaf970-98e1-11e0-a970-00216a82c36c,B1/76.2/B15-Type VIII,de bestuurders hebben voorrang,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B15,voorrang
a8eaf970-98e1-11e0-a970-00216a82c36c,B1/76.2/B15-Type VIII,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a8eaf970-98e1-11e0-a970-00216a82c36c,B1/76.2/B15-Type VIII,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a5dc59e0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a5dc59e0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a5dc59e0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a64ccef0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9/B11,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a64ccef0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9/B11,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a64ccef0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a64ccef0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9/B11,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a6fa9b20-98e1-11e0-a970-00216a82c36c,B1/76.2/B9-Type VIII,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a6fa9b20-98e1-11e0-a970-00216a82c36c,B1/76.2/B9-Type VIII,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a6fa9b20-98e1-11e0-a970-00216a82c36c,B1/76.2/B9-Type VIII,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a7bd27d0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9-Type VIII/B11,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a7bd27d0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9-Type VIII/B11,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a7bd27d0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9-Type VIII/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a7bd27d0-98e1-11e0-a970-00216a82c36c,B1/76.2/B9-Type VIII/B11,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
ae7e6f20-98e1-11e0-a970-00216a82c36c,B19/B21,de bestuurders moeten voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen,,B19,"smalle doorgang, gebod voorrang te verlenen aan de bestuurders die uit de tegenovergestelde riching komen"
ae7e6f20-98e1-11e0-a970-00216a82c36c,B19/B21,de bestuurders hebben voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen,,B21,"smalle doorgang, voorrang ten opzichte van de bestuurders die uit de tegenovergestelde riching komen"
a8158100-98e1-11e0-a970-00216a82c36c,B1/B15,de bestuurders hebben voorrang,,B15,voorrang
a8158100-98e1-11e0-a970-00216a82c36c,B1/B15,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a88a89f0-98e1-11e0-a970-00216a82c36c,B1/B15-Type VIII,de bestuurders hebben voorrang,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B15,voorrang
a88a89f0-98e1-11e0-a970-00216a82c36c,B1/B15-Type VIII,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a5a59271-98e1-11e0-a970-00216a82c36c,B1/B9,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a5a59271-98e1-11e0-a970-00216a82c36c,B1/B9,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a61718f0-98e1-11e0-a970-00216a82c36c,B1/B9/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a61718f0-98e1-11e0-a970-00216a82c36c,B1/B9/B11,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a61718f0-98e1-11e0-a970-00216a82c36c,B1/B9/B11,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a689ff01-98e1-11e0-a970-00216a82c36c,B1/B9-Type VIII,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a689ff01-98e1-11e0-a970-00216a82c36c,B1/B9-Type VIII,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a75d2d80-98e1-11e0-a970-00216a82c36c,B1/B9-Type VIII/B11,de bestuurders moeten voorrang verlenen,,B1,voorrang verlenen
a75d2d80-98e1-11e0-a970-00216a82c36c,B1/B9-Type VIII/B11,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a75d2d80-98e1-11e0-a970-00216a82c36c,B1/B9-Type VIII/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a55612e0-98e1-11e0-a970-00216a82c36c,B1-M1,de bestuurders moeten voorrang verlenen,de maatregel geldt alleen voor de fietsers,B1,voorrang verlenen
a53eba50-98e1-11e0-a970-00216a82c36c,B1-M10,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a577f2c0-98e1-11e0-a970-00216a82c36c,B1-M10/76.2,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a577f2c0-98e1-11e0-a970-00216a82c36c,B1-M10/76.2,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a86c5390-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B15,de bestuurders hebben voorrang,,B15,voorrang
a86c5390-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B15,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a86c5390-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B15,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a91bf480-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B15-Type VIII,de bestuurders hebben voorrang,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B15,voorrang
a91bf480-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B15-Type VIII,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a91bf480-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B15-Type VIII,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a5f86d61-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a5f86d61-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a5f86d61-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a66b5371-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9/B11,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a66b5371-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a66b5371-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9/B11,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a66b5371-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9/B11,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a72861e0-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9-Type VIII,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a72861e0-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9-Type VIII,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a72861e0-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9-Type VIII,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a7e71e00-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9-Type VIII/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a7e71e00-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9-Type VIII/B11,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a7e71e00-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9-Type VIII/B11,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a7e71e00-98e1-11e0-a970-00216a82c36c,B1-M10/76.2/B9-Type VIII/B11,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a83516f0-98e1-11e0-a970-00216a82c36c,B1-M10/B15,de bestuurders hebben voorrang,,B15,voorrang
a83516f0-98e1-11e0-a970-00216a82c36c,B1-M10/B15,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a8bac1b0-98e1-11e0-a970-00216a82c36c,B1-M10/B15-Type VIII,de bestuurders hebben voorrang,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B15,voorrang
a8bac1b0-98e1-11e0-a970-00216a82c36c,B1-M10/B15-Type VIII,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a5c29050-98e1-11e0-a970-00216a82c36c,B1-M10/B9,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a5c29050-98e1-11e0-a970-00216a82c36c,B1-M10/B9,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a62f34d0-98e1-11e0-a970-00216a82c36c,B1-M10/B9/B11,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a62f34d0-98e1-11e0-a970-00216a82c36c,B1-M10/B9/B11,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a62f34d0-98e1-11e0-a970-00216a82c36c,B1-M10/B9/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a6ae4fe0-98e1-11e0-a970-00216a82c36c,B1-M10/B9-Type VIII,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a6ae4fe0-98e1-11e0-a970-00216a82c36c,B1-M10/B9-Type VIII,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a78acd30-98e1-11e0-a970-00216a82c36c,B1-M10/B9-Type VIII/B11,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a78acd30-98e1-11e0-a970-00216a82c36c,B1-M10/B9-Type VIII/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a78acd30-98e1-11e0-a970-00216a82c36c,B1-M10/B9-Type VIII/B11,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a5501f70-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a5501f70-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII,de bestuurders moeten voorrang verlenen,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B1,voorrang verlenen
a58dc4b0-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a58dc4b0-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2,de bestuurders moeten voorrang verlenen,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B1,voorrang verlenen
a58dc4b0-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a938cb50-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B15-Type VIII,de bestuurders moeten voorrang verlenen,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B1,voorrang verlenen
a938cb50-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B15-Type VIII,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a938cb50-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B15-Type VIII,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a938cb50-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B15-Type VIII,de bestuurders hebben voorrang,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B15,voorrang
a60f02a0-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a60f02a0-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9,de bestuurders moeten voorrang verlenen,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B1,voorrang verlenen
a60f02a0-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a60f02a0-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9,de voorrangsweg wordt aangeduid,,B9,voorrangsweg
a74bc860-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
a74bc860-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a74bc860-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII,de bestuurders moeten voorrang verlenen,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B1,voorrang verlenen
a74bc860-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a8046a00-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII/B11,het einde van de voorrangsweg wordt aangeduid,,B11,einde van de voorrangsweg
a8046a00-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII/B11,de bestuurders moeten voorrang verlenen,fietsers en bestuurders van tweewielige bromfietsen rijden in de twee rijrichtingen op de dwarslopende openbare weg die men gaat oprijden,B1,voorrang verlenen
a8046a00-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII/B11,de bestuurders moeten voorrang verlenen,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B1,voorrang verlenen
a8046a00-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII/B11,"de plaats waar de bestuurders, zo nodig,  moeten stoppen om voorrang te verlenen, wordt aangeduid",,"76.2",dwarsstreep gevormd door witte driehoeken
a8046a00-98e1-11e0-a970-00216a82c36c,B1-M10-Type VIII/76.2/B9-Type VIII/B11,de voorrangsweg wordt aangeduid,"het tracé van de weg waarop de bestuurders aan het volgend kruispunt voorrang hebben, wordt aangegeven",B9,voorrangsweg
